,MC_frame,rmf_frame_index,Total_Score,XLs_Trnka,XLs_Chen,XLs_psi_Trnka,XLs_psi_Chen,CR_Rpb1,CR_Rpb7,CR_Rpb9,CR_Rpb10,CR_Rpb12,CR_Rpb4,CR_Rpb2,CR_Rpb3,CR_Rpb5,CR_Rpb6,CR_Rpb8,CR_Rpb11,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,CR_sum,half,cluster,frame_RMF3
2524,2524.0,2524.0,634.9141890027664,93.51819379389732,60.05804868437225,-1.3862943611198906,-1.3862943611198906,10.480413115161998,0.0,0.0,0.0,0.0,0.0,3.387245411781514,0.0,0.0,0.0,0.0,0.0,320.5424864891632,149.70039023063,0.16082279201377625,1.0,example1,example1/rmfs//0.rmf3,150.8036537560298,13.867658526943512,A,1,h1_example1_2524.rmf3
3785,3785.0,3785.0,623.1902278593736,91.11475015278418,60.96824639890863,-1.3862943611198906,-1.3862943611198906,2.235189126417713,0.0,0.0,0.0,0.0,0.0,0.7029870703279121,0.0,0.0,0.11017438286812473,0.2590928870614654,0.0,321.18302919576456,149.38934736748084,0.16140302526211814,1.0,example1,example1/rmfs//0.rmf3,149.31040782945303,3.307443466675215,A,1,h1_example1_3785.rmf3
3862,3862.0,3862.0,627.6804898594536,89.97776413348387,62.237526986405,-1.3862943611198906,-1.3862943611198906,2.5800891185000863,0.0,0.0,1.4822539021677135,0.03255339139465912,0.0,0.0035084314359823984,0.0,0.0,0.0,0.0,0.0,322.2928383034327,151.84654431487343,0.1564441205045943,1.0,example1,example1/rmfs//0.rmf3,149.4427023976491,4.098404843498441,A,1,h1_example1_3862.rmf3
3865,3865.0,3865.0,629.9966938835582,92.4005214253985,60.09896133415823,-1.3862943611198906,-1.3862943611198906,2.167009882219436,0.0,0.002609733350456075,0.0,0.0,0.0,0.0,4.847901022213818,0.0,0.7421803264809974,0.2670557132284571,0.0,319.63207564436095,152.61096752438726,0.15521668854290666,1.0,example1,example1/rmfs//0.rmf3,149.72689403731692,8.026756677493164,A,1,h1_example1_3865.rmf3
4579,4579.0,4579.0,624.9666588425026,92.07125098114112,59.133136239803655,-1.3862943611198906,-1.3862943611198906,0.41759415541790407,0.0,0.0,0.0,0.7981011781826225,0.0,0.31747887096240907,0.0,0.0,0.0,0.0,0.0,322.9941696519477,152.007516487287,0.1561077155039412,1.0,example1,example1/rmfs//0.rmf3,148.43179849870498,1.5331742045629357,A,1,h1_example1_4579.rmf3
4400,4400.0,4400.0,614.2868385768032,94.91112870049948,63.09152167012572,-1.3862943611198906,-1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.005903656858971094,0.0,0.0,0.5924455235992345,0.7618247049250242,0.0,308.1956392173053,149.50096382572926,0.16103295565773498,1.0,example3,example3/rmfs//0.rmf3,155.2300616483854,1.36017388538323,A,1,h1_example3_4400.rmf3
4401,4401.0,4401.0,601.969052264674,94.61936139707812,62.02551246187415,-1.3862943611198906,-1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.050418310462648275,0.0,0.0,0.0,0.0,0.0,297.0455735355629,151.00077528193606,0.15814603692513882,1.0,example3,example3/rmfs//0.rmf3,153.8722851367125,0.050418310462648275,A,1,h1_example3_4401.rmf3
4402,4402.0,4402.0,608.7960732019487,90.20456957926845,61.220841878281135,-1.3862943611198906,-1.3862943611198906,1.9407355468752687,0.0,0.1786954991084659,0.0,0.0,0.0,4.428120753918762,0.26365104817070223,0.0,1.5447839819651519,2.366439438605436,0.0,297.83963047585615,151.58119372213903,0.15715696340213156,1.0,example3,example3/rmfs//0.rmf3,148.6528227353098,10.722426268643787,A,1,h1_example3_4402.rmf3
4403,4403.0,4403.0,602.6341120195432,91.34144441467865,59.46200242512416,-1.3862943611198906,-1.3862943611198906,3.1845824514476933,0.0,0.12409395214985514,0.0,0.0,0.0,1.6461130106560855,0.0,0.0,0.0,0.0,0.0,297.2515855590463,152.3968789286802,0.15550127514452383,1.0,example3,example3/rmfs//0.rmf3,148.030858117563,4.954789414253634,A,1,h1_example3_4403.rmf3
4404,4404.0,4404.0,617.0732650895159,93.08862326485655,58.843891897548005,-1.3862943611198906,-1.3862943611198906,3.898829059801507,0.0,0.0,0.0,0.0,0.0,1.0477071839938583,0.0,0.0,0.1842990680430192,0.0,0.0,303.61564412279546,159.16685921471728,0.14306451818998847,1.0,example3,example3/rmfs//0.rmf3,149.15992644016478,5.130835311838385,A,1,h1_example3_4404.rmf3
