cluster,Total_Score,EV_sum,XLs_sum,GaussianEMRestraint_None,N_models,N_A,N_B
1,601.49495752302,303.42630057607386,146.67050005014633,147.19935609964688,11282,4809,6473
0,625.7508020131665,333.8035128061238,142.70167923908582,144.3762296743971,2551,2515,36
-1,628.662653039673,326.1407072787924,146.15720567891367,150.48882188392196,2167,1476,691
