,MC_frame,CrossLinkingMassSpectrometryRestraint_Psi_PSI_Chen,CrossLinkingMassSpectrometryRestraint_Psi_PSI_Trnka,XLs_satif
4400,4400.0,0.25,0.25,0.8620689655172413
4401,4401.0,0.25,0.25,0.8582375478927203
4402,4402.0,0.25,0.25,0.8544061302681992
4403,4403.0,0.25,0.25,0.8544061302681992
4404,4404.0,0.25,0.25,0.842911877394636
4405,4405.0,0.25,0.25,0.8505747126436781
4406,4406.0,0.25,0.25,0.842911877394636
4407,4407.0,0.25,0.25,0.8505747126436781
4408,4408.0,0.25,0.25,0.8582375478927203
4409,4409.0,0.25,0.25,0.8544061302681992
4410,4410.0,0.25,0.25,0.8582375478927203
4411,4411.0,0.25,0.25,0.8620689655172413
4412,4412.0,0.25,0.25,0.8544061302681992
4413,4413.0,0.25,0.25,0.8620689655172413
4414,4414.0,0.25,0.25,0.8659003831417624
4415,4415.0,0.25,0.25,0.8735632183908046
4416,4416.0,0.25,0.25,0.8505747126436781
4417,4417.0,0.25,0.25,0.8659003831417624
4418,4418.0,0.25,0.25,0.8659003831417624
4419,4419.0,0.25,0.25,0.8620689655172413
4420,4420.0,0.25,0.25,0.8659003831417624
4421,4421.0,0.25,0.25,0.8620689655172413
4422,4422.0,0.25,0.25,0.8659003831417624
4423,4423.0,0.25,0.25,0.8659003831417624
4424,4424.0,0.25,0.25,0.8659003831417624
4425,4425.0,0.25,0.25,0.8659003831417624
4426,4426.0,0.25,0.25,0.8582375478927203
4427,4427.0,0.25,0.25,0.8697318007662835
4428,4428.0,0.25,0.25,0.8697318007662835
4429,4429.0,0.25,0.25,0.8659003831417624
4430,4430.0,0.25,0.25,0.8544061302681992
4431,4431.0,0.25,0.25,0.8620689655172413
4432,4432.0,0.25,0.25,0.8505747126436781
4433,4433.0,0.25,0.25,0.8620689655172413
4434,4434.0,0.25,0.25,0.8544061302681992
4435,4435.0,0.25,0.25,0.8659003831417624
4436,4436.0,0.25,0.25,0.8773946360153256
4437,4437.0,0.25,0.25,0.8735632183908046
4438,4438.0,0.25,0.25,0.8735632183908046
4439,4439.0,0.25,0.25,0.8735632183908046
4440,4440.0,0.25,0.25,0.8697318007662835
4441,4441.0,0.25,0.25,0.8735632183908046
4442,4442.0,0.25,0.25,0.8773946360153256
4443,4443.0,0.25,0.25,0.8773946360153256
4444,4444.0,0.25,0.25,0.8659003831417624
4445,4445.0,0.25,0.25,0.89272030651341
4446,4446.0,0.25,0.25,0.9003831417624522
4447,4447.0,0.25,0.25,0.9003831417624522
4448,4448.0,0.25,0.25,0.9003831417624522
4449,4449.0,0.25,0.25,0.9003831417624522
4450,4450.0,0.25,0.25,0.9003831417624522
4451,4451.0,0.25,0.25,0.8850574712643678
4452,4452.0,0.25,0.25,0.8812260536398467
