,MC_frame,CrossLinkingMassSpectrometryRestraint_Psi_PSI_Chen,CrossLinkingMassSpectrometryRestraint_Psi_PSI_Trnka,XLs_satif
1400,1400.0,0.25,0.25,0.8773946360153256
1401,1401.0,0.25,0.25,0.8888888888888888
1402,1402.0,0.25,0.25,0.8812260536398467
1403,1403.0,0.25,0.25,0.8888888888888888
1404,1404.0,0.25,0.25,0.896551724137931
1405,1405.0,0.25,0.25,0.9042145593869731
1406,1406.0,0.25,0.25,0.9003831417624522
1407,1407.0,0.25,0.25,0.8888888888888888
1408,1408.0,0.25,0.25,0.8850574712643678
1409,1409.0,0.25,0.25,0.8544061302681992
1410,1410.0,0.25,0.25,0.8773946360153256
1411,1411.0,0.25,0.25,0.89272030651341
1412,1412.0,0.25,0.25,0.896551724137931
1413,1413.0,0.25,0.25,0.8697318007662835
1414,1414.0,0.25,0.25,0.8812260536398467
1415,1415.0,0.25,0.25,0.8850574712643678
1416,1416.0,0.25,0.25,0.8697318007662835
1417,1417.0,0.25,0.25,0.8812260536398467
1418,1418.0,0.25,0.25,0.8850574712643678
1419,1419.0,0.25,0.25,0.8888888888888888
1420,1420.0,0.25,0.25,0.8812260536398467
1421,1421.0,0.25,0.25,0.8735632183908046
1422,1422.0,0.25,0.25,0.8659003831417624
1423,1423.0,0.25,0.25,0.8735632183908046
1424,1424.0,0.25,0.25,0.8850574712643678
1425,1425.0,0.25,0.25,0.8888888888888888
1426,1426.0,0.25,0.25,0.9003831417624522
1427,1427.0,0.25,0.25,0.8735632183908046
1428,1428.0,0.25,0.25,0.8773946360153256
1429,1429.0,0.25,0.25,0.8773946360153256
1430,1430.0,0.25,0.25,0.8659003831417624
1431,1431.0,0.25,0.25,0.8773946360153256
1432,1432.0,0.25,0.25,0.8697318007662835
1433,1433.0,0.25,0.25,0.8697318007662835
1434,1434.0,0.25,0.25,0.8659003831417624
1435,1435.0,0.25,0.25,0.8544061302681992
1436,1436.0,0.25,0.25,0.8659003831417624
1437,1437.0,0.25,0.25,0.8620689655172413
1438,1438.0,0.25,0.25,0.8773946360153256
1439,1439.0,0.25,0.25,0.8735632183908046
1440,1440.0,0.25,0.25,0.8773946360153256
1441,1441.0,0.25,0.25,0.8773946360153256
1442,1442.0,0.25,0.25,0.8888888888888888
1443,1443.0,0.25,0.25,0.8697318007662835
1444,1444.0,0.25,0.25,0.8888888888888888
1445,1445.0,0.25,0.25,0.89272030651341
1446,1446.0,0.25,0.25,0.8888888888888888
1447,1447.0,0.25,0.25,0.8735632183908046
1448,1448.0,0.25,0.25,0.8812260536398467
1449,1449.0,0.25,0.25,0.8659003831417624
1450,1450.0,0.25,0.25,0.8659003831417624
1451,1451.0,0.25,0.25,0.8582375478927203
1452,1452.0,0.25,0.25,0.8620689655172413
1453,1453.0,0.25,0.25,0.8659003831417624
1454,1454.0,0.25,0.25,0.8888888888888888
1455,1455.0,0.25,0.25,0.896551724137931
1456,1456.0,0.25,0.25,0.896551724137931
1457,1457.0,0.25,0.25,0.9003831417624522
1458,1458.0,0.25,0.25,0.896551724137931
1459,1459.0,0.25,0.25,0.9042145593869731
1460,1460.0,0.25,0.25,0.9080459770114943
1461,1461.0,0.25,0.25,0.9118773946360154
1462,1462.0,0.25,0.25,0.9157088122605364
1463,1463.0,0.25,0.25,0.9157088122605364
1464,1464.0,0.25,0.25,0.89272030651341
1465,1465.0,0.25,0.25,0.89272030651341
1466,1466.0,0.25,0.25,0.89272030651341
1467,1467.0,0.25,0.25,0.8888888888888888
1468,1468.0,0.25,0.25,0.8888888888888888
1469,1469.0,0.25,0.25,0.9003831417624522
1470,1470.0,0.25,0.25,0.89272030651341
1471,1471.0,0.25,0.25,0.9003831417624522
1472,1472.0,0.25,0.25,0.8812260536398467
1473,1473.0,0.25,0.25,0.8850574712643678
1474,1474.0,0.25,0.25,0.8850574712643678
1475,1475.0,0.25,0.25,0.9003831417624522
1476,1476.0,0.25,0.25,0.9080459770114943
1477,1477.0,0.25,0.25,0.9003831417624522
1478,1478.0,0.25,0.25,0.9042145593869731
1479,1479.0,0.25,0.25,0.9042145593869731
1480,1480.0,0.25,0.25,0.9042145593869731
1481,1481.0,0.25,0.25,0.9003831417624522
1482,1482.0,0.25,0.25,0.9042145593869731
1483,1483.0,0.25,0.25,0.9042145593869731
1484,1484.0,0.25,0.25,0.9003831417624522
1485,1485.0,0.25,0.25,0.89272030651341
1486,1486.0,0.25,0.25,0.89272030651341
1487,1487.0,0.25,0.25,0.8888888888888888
1488,1488.0,0.25,0.25,0.8888888888888888
1489,1489.0,0.25,0.25,0.896551724137931
1490,1490.0,0.25,0.25,0.9003831417624522
1491,1491.0,0.25,0.25,0.9003831417624522
1492,1492.0,0.25,0.25,0.9118773946360154
1493,1493.0,0.25,0.25,0.9042145593869731
1494,1494.0,0.25,0.25,0.9042145593869731
1495,1495.0,0.25,0.25,0.9042145593869731
1496,1496.0,0.25,0.25,0.9080459770114943
1497,1497.0,0.25,0.25,0.9042145593869731
1498,1498.0,0.25,0.25,0.896551724137931
1499,1499.0,0.25,0.25,0.9080459770114943
1500,1500.0,0.25,0.25,0.89272030651341
1501,1501.0,0.25,0.25,0.9195402298850575
1502,1502.0,0.25,0.25,0.9080459770114943
1503,1503.0,0.25,0.25,0.9118773946360154
1504,1504.0,0.25,0.25,0.9233716475095786
1505,1505.0,0.25,0.25,0.89272030651341
1506,1506.0,0.25,0.25,0.9003831417624522
1507,1507.0,0.25,0.25,0.9118773946360154
1508,1508.0,0.25,0.25,0.9195402298850575
1509,1509.0,0.25,0.25,0.9310344827586207
1510,1510.0,0.25,0.25,0.9233716475095786
1511,1511.0,0.25,0.25,0.9272030651340997
1512,1512.0,0.25,0.25,0.9080459770114943
1513,1513.0,0.25,0.25,0.9233716475095786
1514,1514.0,0.25,0.25,0.896551724137931
1515,1515.0,0.25,0.25,0.8888888888888888
1516,1516.0,0.25,0.25,0.8888888888888888
1517,1517.0,0.25,0.25,0.8773946360153256
1518,1518.0,0.25,0.25,0.8735632183908046
1519,1519.0,0.25,0.25,0.8812260536398467
1520,1520.0,0.25,0.25,0.9042145593869731
1521,1521.0,0.25,0.25,0.8850574712643678
1522,1522.0,0.25,0.25,0.896551724137931
1523,1523.0,0.25,0.25,0.896551724137931
1524,1524.0,0.25,0.25,0.8773946360153256
1525,1525.0,0.25,0.25,0.8812260536398467
1526,1526.0,0.25,0.25,0.896551724137931
1527,1527.0,0.25,0.25,0.9003831417624522
1528,1528.0,0.25,0.25,0.9003831417624522
1529,1529.0,0.25,0.25,0.9080459770114943
1530,1530.0,0.25,0.25,0.9157088122605364
1531,1531.0,0.25,0.25,0.896551724137931
1532,1532.0,0.25,0.25,0.9042145593869731
1533,1533.0,0.25,0.25,0.8888888888888888
1534,1534.0,0.25,0.25,0.9118773946360154
1535,1535.0,0.25,0.25,0.9118773946360154
1536,1536.0,0.25,0.25,0.9118773946360154
1537,1537.0,0.25,0.25,0.9157088122605364
1538,1538.0,0.25,0.25,0.9157088122605364
1539,1539.0,0.25,0.25,0.9118773946360154
1540,1540.0,0.25,0.25,0.9042145593869731
1541,1541.0,0.25,0.25,0.9042145593869731
1542,1542.0,0.25,0.25,0.9080459770114943
1543,1543.0,0.25,0.25,0.9195402298850575
1544,1544.0,0.25,0.25,0.9042145593869731
1545,1545.0,0.25,0.25,0.89272030651341
1546,1546.0,0.25,0.25,0.8812260536398467
1547,1547.0,0.25,0.25,0.9003831417624522
1548,1548.0,0.25,0.25,0.9157088122605364
1549,1549.0,0.25,0.25,0.9157088122605364
1550,1550.0,0.25,0.25,0.9157088122605364
1551,1551.0,0.25,0.25,0.9118773946360154
1552,1552.0,0.25,0.25,0.9042145593869731
1553,1553.0,0.25,0.25,0.9118773946360154
1554,1554.0,0.25,0.25,0.9157088122605364
1555,1555.0,0.25,0.25,0.9003831417624522
1556,1556.0,0.25,0.25,0.9080459770114943
1557,1557.0,0.25,0.25,0.9003831417624522
1558,1558.0,0.25,0.25,0.896551724137931
1559,1559.0,0.25,0.25,0.9003831417624522
1560,1560.0,0.25,0.25,0.9003831417624522
1561,1561.0,0.25,0.25,0.89272030651341
1562,1562.0,0.25,0.25,0.9003831417624522
1563,1563.0,0.25,0.25,0.9080459770114943
1564,1564.0,0.25,0.25,0.9118773946360154
1565,1565.0,0.25,0.25,0.9042145593869731
1566,1566.0,0.25,0.25,0.9080459770114943
1567,1567.0,0.25,0.25,0.9195402298850575
1568,1568.0,0.25,0.25,0.9157088122605364
1569,1569.0,0.25,0.25,0.9080459770114943
1570,1570.0,0.25,0.25,0.9080459770114943
1571,1571.0,0.25,0.25,0.9157088122605364
1572,1572.0,0.25,0.25,0.9118773946360154
1573,1573.0,0.25,0.25,0.9157088122605364
1574,1574.0,0.25,0.25,0.9195402298850575
1575,1575.0,0.25,0.25,0.9195402298850575
1576,1576.0,0.25,0.25,0.9195402298850575
1577,1577.0,0.25,0.25,0.9157088122605364
1578,1578.0,0.25,0.25,0.9195402298850575
1579,1579.0,0.25,0.25,0.9195402298850575
1580,1580.0,0.25,0.25,0.9195402298850575
1581,1581.0,0.25,0.25,0.9233716475095786
1582,1582.0,0.25,0.25,0.9157088122605364
1583,1583.0,0.25,0.25,0.9233716475095786
1584,1584.0,0.25,0.25,0.9233716475095786
1585,1585.0,0.25,0.25,0.9195402298850575
1586,1586.0,0.25,0.25,0.9233716475095786
1587,1587.0,0.25,0.25,0.9157088122605364
1588,1588.0,0.25,0.25,0.9195402298850575
1589,1589.0,0.25,0.25,0.9195402298850575
1590,1590.0,0.25,0.25,0.9157088122605364
1591,1591.0,0.25,0.25,0.9195402298850575
1592,1592.0,0.25,0.25,0.9157088122605364
1593,1593.0,0.25,0.25,0.9195402298850575
1594,1594.0,0.25,0.25,0.9157088122605364
1595,1595.0,0.25,0.25,0.9157088122605364
1596,1596.0,0.25,0.25,0.9195402298850575
1597,1597.0,0.25,0.25,0.9157088122605364
1598,1598.0,0.25,0.25,0.9118773946360154
1599,1599.0,0.25,0.25,0.9003831417624522
1600,1600.0,0.25,0.25,0.9003831417624522
1601,1601.0,0.25,0.25,0.9003831417624522
1602,1602.0,0.25,0.25,0.9080459770114943
1603,1603.0,0.25,0.25,0.9195402298850575
1604,1604.0,0.25,0.25,0.9195402298850575
1605,1605.0,0.25,0.25,0.9157088122605364
1606,1606.0,0.25,0.25,0.9157088122605364
1607,1607.0,0.25,0.25,0.9157088122605364
1608,1608.0,0.25,0.25,0.9195402298850575
1609,1609.0,0.25,0.25,0.9118773946360154
1610,1610.0,0.25,0.25,0.9118773946360154
1611,1611.0,0.25,0.25,0.9233716475095786
1612,1612.0,0.25,0.25,0.9157088122605364
1613,1613.0,0.25,0.25,0.9195402298850575
1614,1614.0,0.25,0.25,0.9195402298850575
1615,1615.0,0.25,0.25,0.9195402298850575
1616,1616.0,0.25,0.25,0.9195402298850575
1617,1617.0,0.25,0.25,0.9195402298850575
1618,1618.0,0.25,0.25,0.9003831417624522
1619,1619.0,0.25,0.25,0.896551724137931
1620,1620.0,0.25,0.25,0.8888888888888888
1621,1621.0,0.25,0.25,0.8888888888888888
1622,1622.0,0.25,0.25,0.8850574712643678
1623,1623.0,0.25,0.25,0.8850574712643678
1624,1624.0,0.25,0.25,0.8888888888888888
1625,1625.0,0.25,0.25,0.8850574712643678
1626,1626.0,0.25,0.25,0.8888888888888888
1627,1627.0,0.25,0.25,0.896551724137931
1628,1628.0,0.25,0.25,0.89272030651341
1629,1629.0,0.25,0.25,0.896551724137931
1630,1630.0,0.25,0.25,0.896551724137931
1631,1631.0,0.25,0.25,0.89272030651341
1632,1632.0,0.25,0.25,0.896551724137931
1633,1633.0,0.25,0.25,0.8888888888888888
1634,1634.0,0.25,0.25,0.8850574712643678
1635,1635.0,0.25,0.25,0.8888888888888888
1636,1636.0,0.25,0.25,0.89272030651341
1637,1637.0,0.25,0.25,0.896551724137931
1638,1638.0,0.25,0.25,0.896551724137931
1639,1639.0,0.25,0.25,0.89272030651341
1640,1640.0,0.25,0.25,0.9080459770114943
1641,1641.0,0.25,0.25,0.9118773946360154
1642,1642.0,0.25,0.25,0.9118773946360154
1643,1643.0,0.25,0.25,0.9195402298850575
1644,1644.0,0.25,0.25,0.9042145593869731
1645,1645.0,0.25,0.25,0.9195402298850575
1646,1646.0,0.25,0.25,0.9118773946360154
1647,1647.0,0.25,0.25,0.9118773946360154
1648,1648.0,0.25,0.25,0.9157088122605364
1649,1649.0,0.25,0.25,0.9157088122605364
1650,1650.0,0.25,0.25,0.9157088122605364
1651,1651.0,0.25,0.25,0.9003831417624522
1652,1652.0,0.25,0.25,0.9003831417624522
1653,1653.0,0.25,0.25,0.9003831417624522
1654,1654.0,0.25,0.25,0.9042145593869731
1655,1655.0,0.25,0.25,0.9003831417624522
1656,1656.0,0.25,0.25,0.89272030651341
1657,1657.0,0.25,0.25,0.9042145593869731
1658,1658.0,0.25,0.25,0.9157088122605364
1659,1659.0,0.25,0.25,0.9080459770114943
1660,1660.0,0.25,0.25,0.9042145593869731
1661,1661.0,0.25,0.25,0.9042145593869731
1662,1662.0,0.25,0.25,0.9003831417624522
1663,1663.0,0.25,0.25,0.9157088122605364
1664,1664.0,0.25,0.25,0.8888888888888888
1665,1665.0,0.25,0.25,0.8773946360153256
1666,1666.0,0.25,0.25,0.89272030651341
1667,1667.0,0.25,0.25,0.896551724137931
1668,1668.0,0.25,0.25,0.8812260536398467
1669,1669.0,0.25,0.25,0.8888888888888888
1670,1670.0,0.25,0.25,0.8850574712643678
1671,1671.0,0.25,0.25,0.8888888888888888
1672,1672.0,0.25,0.25,0.89272030651341
1673,1673.0,0.25,0.25,0.9118773946360154
1674,1674.0,0.25,0.25,0.9157088122605364
1675,1675.0,0.25,0.25,0.9118773946360154
1676,1676.0,0.25,0.25,0.9118773946360154
1677,1677.0,0.25,0.25,0.9157088122605364
1678,1678.0,0.25,0.25,0.9118773946360154
1679,1679.0,0.25,0.25,0.9157088122605364
1680,1680.0,0.25,0.25,0.896551724137931
1681,1681.0,0.25,0.25,0.9080459770114943
1682,1682.0,0.25,0.25,0.9118773946360154
1683,1683.0,0.25,0.25,0.9080459770114943
1684,1684.0,0.25,0.25,0.9157088122605364
1685,1685.0,0.25,0.25,0.9042145593869731
1686,1686.0,0.25,0.25,0.9233716475095786
1687,1687.0,0.25,0.25,0.9118773946360154
1688,1688.0,0.25,0.25,0.9042145593869731
1689,1689.0,0.25,0.25,0.896551724137931
1690,1690.0,0.25,0.25,0.9157088122605364
1691,1691.0,0.25,0.25,0.9080459770114943
1692,1692.0,0.25,0.25,0.8888888888888888
1693,1693.0,0.25,0.25,0.9042145593869731
1694,1694.0,0.25,0.25,0.8812260536398467
1695,1695.0,0.25,0.25,0.9003831417624522
1696,1696.0,0.25,0.25,0.8812260536398467
1697,1697.0,0.25,0.25,0.9042145593869731
1698,1698.0,0.25,0.25,0.9003831417624522
1699,1699.0,0.25,0.25,0.89272030651341
1700,1700.0,0.25,0.25,0.9118773946360154
1701,1701.0,0.25,0.25,0.9003831417624522
1702,1702.0,0.25,0.25,0.9157088122605364
1703,1703.0,0.25,0.25,0.9118773946360154
