,MC_frame,CrossLinkingMassSpectrometryRestraint_Psi_PSI_Chen,CrossLinkingMassSpectrometryRestraint_Psi_PSI_Trnka,XLs_satif
3400,3400.0,0.25,0.25,0.8812260536398467
3401,3401.0,0.25,0.25,0.8735632183908046
3402,3402.0,0.25,0.25,0.8812260536398467
3403,3403.0,0.25,0.25,0.8888888888888888
3404,3404.0,0.25,0.25,0.8735632183908046
3405,3405.0,0.25,0.25,0.8888888888888888
3406,3406.0,0.25,0.25,0.896551724137931
3407,3407.0,0.25,0.25,0.8659003831417624
3408,3408.0,0.25,0.25,0.8812260536398467
3409,3409.0,0.25,0.25,0.8812260536398467
3410,3410.0,0.25,0.25,0.9003831417624522
3411,3411.0,0.25,0.25,0.8812260536398467
3412,3412.0,0.25,0.25,0.89272030651341
3413,3413.0,0.25,0.25,0.8773946360153256
3414,3414.0,0.25,0.25,0.8812260536398467
3415,3415.0,0.25,0.25,0.89272030651341
3416,3416.0,0.25,0.25,0.89272030651341
3417,3417.0,0.25,0.25,0.89272030651341
3418,3418.0,0.25,0.25,0.896551724137931
3419,3419.0,0.25,0.25,0.896551724137931
3420,3420.0,0.25,0.25,0.8850574712643678
3421,3421.0,0.25,0.25,0.8850574712643678
3422,3422.0,0.25,0.25,0.8888888888888888
3423,3423.0,0.25,0.25,0.8850574712643678
3424,3424.0,0.25,0.25,0.8812260536398467
3425,3425.0,0.25,0.25,0.8812260536398467
3426,3426.0,0.25,0.25,0.8773946360153256
3427,3427.0,0.25,0.25,0.8812260536398467
3428,3428.0,0.25,0.25,0.8812260536398467
3429,3429.0,0.25,0.25,0.8812260536398467
3430,3430.0,0.25,0.25,0.8888888888888888
3431,3431.0,0.25,0.25,0.8812260536398467
3432,3432.0,0.25,0.25,0.8812260536398467
3433,3433.0,0.25,0.25,0.8888888888888888
3434,3434.0,0.25,0.25,0.8888888888888888
3435,3435.0,0.25,0.25,0.89272030651341
3436,3436.0,0.25,0.25,0.8888888888888888
3437,3437.0,0.25,0.25,0.8812260536398467
3438,3438.0,0.25,0.25,0.8850574712643678
3439,3439.0,0.25,0.25,0.8812260536398467
3440,3440.0,0.25,0.25,0.8812260536398467
3441,3441.0,0.25,0.25,0.8850574712643678
3442,3442.0,0.25,0.25,0.8888888888888888
3443,3443.0,0.25,0.25,0.89272030651341
3444,3444.0,0.25,0.25,0.89272030651341
3445,3445.0,0.25,0.25,0.8850574712643678
3446,3446.0,0.25,0.25,0.8850574712643678
3447,3447.0,0.25,0.25,0.8735632183908046
3448,3448.0,0.25,0.25,0.8850574712643678
3449,3449.0,0.25,0.25,0.8850574712643678
3450,3450.0,0.25,0.25,0.8888888888888888
3451,3451.0,0.25,0.25,0.8812260536398467
3452,3452.0,0.25,0.25,0.89272030651341
3453,3453.0,0.25,0.25,0.89272030651341
3454,3454.0,0.25,0.25,0.8850574712643678
3455,3455.0,0.25,0.25,0.8850574712643678
3456,3456.0,0.25,0.25,0.8850574712643678
3457,3457.0,0.25,0.25,0.8812260536398467
3458,3458.0,0.25,0.25,0.8812260536398467
3459,3459.0,0.25,0.25,0.8697318007662835
3460,3460.0,0.25,0.25,0.8659003831417624
3461,3461.0,0.25,0.25,0.8735632183908046
3462,3462.0,0.25,0.25,0.8582375478927203
3463,3463.0,0.25,0.25,0.8659003831417624
3464,3464.0,0.25,0.25,0.8390804597701149
3465,3465.0,0.25,0.25,0.8467432950191571
3466,3466.0,0.25,0.25,0.8467432950191571
3467,3467.0,0.25,0.25,0.8582375478927203
3468,3468.0,0.25,0.25,0.8620689655172413
3469,3469.0,0.25,0.25,0.8659003831417624
3470,3470.0,0.25,0.25,0.8773946360153256
3471,3471.0,0.25,0.25,0.8812260536398467
3472,3472.0,0.25,0.25,0.8850574712643678
3473,3473.0,0.25,0.25,0.89272030651341
3474,3474.0,0.25,0.25,0.8773946360153256
3475,3475.0,0.25,0.25,0.8773946360153256
3476,3476.0,0.25,0.25,0.8697318007662835
3477,3477.0,0.25,0.25,0.8773946360153256
3478,3478.0,0.25,0.25,0.8812260536398467
3479,3479.0,0.25,0.25,0.89272030651341
3480,3480.0,0.25,0.25,0.8888888888888888
3481,3481.0,0.25,0.25,0.89272030651341
3482,3482.0,0.25,0.25,0.8812260536398467
3483,3483.0,0.25,0.25,0.8812260536398467
3484,3484.0,0.25,0.25,0.8850574712643678
3485,3485.0,0.25,0.25,0.8888888888888888
3486,3486.0,0.25,0.25,0.8735632183908046
3487,3487.0,0.25,0.25,0.8697318007662835
