,MC_frame,rmf_frame_index,Total_Score,XLs_Trnka,XLs_Chen,XLs_psi_Trnka,XLs_psi_Chen,CR_Rpb1,CR_Rpb7,CR_Rpb9,CR_Rpb10,CR_Rpb12,CR_Rpb4,CR_Rpb2,CR_Rpb3,CR_Rpb5,CR_Rpb6,CR_Rpb8,CR_Rpb11,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,CR_sum,half,cluster,frame_RMF3
4422,4422.0,4422.0,612.4277050961068,87.87200104728493,54.86851319095664,-1.3862943611198906,-1.3862943611198906,1.7607757968387288,0.0,0.023142431673270732,0.08774875223863081,0.0,0.0,2.290292082020464,0.0,0.0,2.3436053249822715,0.12352408456676796,0.0,326.7186322337632,139.11205887402173,0.18283048944007005,1.0,example2,example2/rmfs//0.rmf3,139.96792551600177,6.6290884723201335,B,0,h2_example2_4422.rmf3
4425,4425.0,4425.0,626.026330579079,89.88357682224218,53.06111424178845,-1.3862943611198906,-1.3862943611198906,5.977861261100093,0.0,0.0,0.0,0.0,0.0,0.0,9.082011156097858,0.0,0.0,0.0,0.0,325.9333574707595,144.86099834933066,0.169939653379364,1.0,example2,example2/rmfs//0.rmf3,140.17210234179083,15.059872417197951,B,0,h2_example2_4425.rmf3
4551,4551.0,4551.0,623.058104270325,91.65598982597729,58.420315496366726,-1.3862943611198906,-1.3862943611198906,0.7291754349665487,0.0,0.0,0.0,0.0,0.0,5.383996052267818,1.8312638140739093,0.0,0.0,1.250324855422701,0.0,325.11429932976114,141.44532818372858,0.17767922995138632,1.0,example2,example2/rmfs//0.rmf3,147.30371660010422,9.194760156730977,B,0,h2_example2_4551.rmf3
4559,4559.0,4559.0,627.0774582832042,89.56767726051106,56.01967781381361,-1.3862943611198906,-1.3862943611198906,9.400624204301254,0.0,0.0,0.0,0.0,0.0,0.0,3.173738307725817,0.0,1.452765373520977,0.0,0.0,327.97708217711613,142.25848186845522,0.1758821606593116,1.0,example2,example2/rmfs//0.rmf3,142.8147663520849,14.027127885548047,B,0,h2_example2_4559.rmf3
4661,4661.0,4661.0,604.9959086032991,89.59353691340768,53.30607714279713,-1.3862943611198906,-1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1002834868373692,0.0,0.0,0.0,0.0,324.17820916058207,139.59039062191462,0.18167122358729865,1.0,example2,example2/rmfs//0.rmf3,140.127025333965,1.1002834868373692,B,0,h2_example2_4661.rmf3
4799,4799.0,4799.0,632.3449636510677,89.95734887367192,56.803451772403996,-1.3862943611198906,-1.3862943611198906,0.0,0.0,0.0,0.0,0.2216613647697904,0.0,3.0087896795726894,0.0,0.0,4.695032976342339,0.0,0.0,330.29303937161336,150.13822833493344,0.15947944783910076,1.0,example2,example2/rmfs//0.rmf3,143.98821192383613,7.925484020684818,B,0,h2_example2_4799.rmf3
2268,2268.0,2268.0,628.5204600663226,89.27635154048164,59.30546321626998,-1.3862943611198906,-1.3862943611198906,3.833809521791195,0.0,0.010593914077303486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.07023656515224,152.79659403078995,0.1543133456508945,1.0,example4,example4/rmfs//0.rmf3,145.80922603451182,3.844403435868499,B,0,h2_example4_2268.rmf3
2511,2511.0,2511.0,631.7864417725011,91.29756524180813,59.82014186120348,-1.3862943611198906,-1.3862943611198906,3.114239540201516,0.0,0.0,0.0,0.0,0.0,0.012515813996930438,0.0,0.0,0.0,4.321336702845089,0.0,329.2188804933148,146.774350841371,0.16669423502327177,1.0,example4,example4/rmfs//0.rmf3,148.34511838077182,7.448092057043535,B,0,h2_example4_2511.rmf3
2622,2622.0,2622.0,645.2372734537881,89.74514520084706,61.0588328034734,-1.3862943611198906,-1.3862943611198906,3.4622797741422975,0.0,0.920467251297844,8.986548576640413,0.0,0.0,1.5442596532425275,0.8494169114912942,0.0,0.0,0.0,0.001124399035275761,330.7480962022958,150.69369140356204,0.15861133911704867,1.0,example4,example4/rmfs//0.rmf3,148.03138928208068,15.764096565849652,B,0,h2_example4_2622.rmf3
2624,2624.0,2624.0,626.2603252440559,89.37407784205807,59.68582787818175,-1.3862943611198906,-1.3862943611198906,0.7155014059720515,0.0,0.0,0.0,1.514707365114712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.1190695347877,152.62372994018145,0.15498593962096105,1.0,example4,example4/rmfs//0.rmf3,146.28731699800002,2.2302087710867635,B,0,h2_example4_2624.rmf3
