,MC_frame,CrossLinkingMassSpectrometryRestraint_Psi_PSI_Chen,CrossLinkingMassSpectrometryRestraint_Psi_PSI_Trnka,XLs_satif
4200,4200.0,0.25,0.25,0.842911877394636
4201,4201.0,0.25,0.25,0.8505747126436781
4202,4202.0,0.25,0.25,0.8467432950191571
4203,4203.0,0.25,0.25,0.8467432950191571
4204,4204.0,0.25,0.25,0.8467432950191571
4205,4205.0,0.25,0.25,0.8582375478927203
4206,4206.0,0.25,0.25,0.8544061302681992
4207,4207.0,0.25,0.25,0.8505747126436781
4208,4208.0,0.25,0.25,0.8582375478927203
4209,4209.0,0.25,0.25,0.8697318007662835
4210,4210.0,0.25,0.25,0.8544061302681992
4211,4211.0,0.25,0.25,0.8505747126436781
4212,4212.0,0.25,0.25,0.8582375478927203
4213,4213.0,0.25,0.25,0.8467432950191571
4214,4214.0,0.25,0.25,0.842911877394636
4215,4215.0,0.25,0.25,0.8467432950191571
4216,4216.0,0.25,0.25,0.8467432950191571
4217,4217.0,0.25,0.25,0.8544061302681992
4218,4218.0,0.25,0.25,0.8505747126436781
4219,4219.0,0.25,0.25,0.8659003831417624
4220,4220.0,0.25,0.25,0.8582375478927203
4221,4221.0,0.25,0.25,0.8620689655172413
4222,4222.0,0.25,0.25,0.8620689655172413
4223,4223.0,0.25,0.25,0.8620689655172413
4224,4224.0,0.25,0.25,0.8620689655172413
4225,4225.0,0.25,0.25,0.8620689655172413
4226,4226.0,0.25,0.25,0.8697318007662835
4227,4227.0,0.25,0.25,0.8659003831417624
4228,4228.0,0.25,0.25,0.8735632183908046
4229,4229.0,0.25,0.25,0.8659003831417624
4230,4230.0,0.25,0.25,0.8735632183908046
4231,4231.0,0.25,0.25,0.8735632183908046
4232,4232.0,0.25,0.25,0.8620689655172413
4233,4233.0,0.25,0.25,0.8697318007662835
4234,4234.0,0.25,0.25,0.8659003831417624
4235,4235.0,0.25,0.25,0.8697318007662835
4236,4236.0,0.25,0.25,0.8659003831417624
4237,4237.0,0.25,0.25,0.8735632183908046
4238,4238.0,0.25,0.25,0.8620689655172413
4239,4239.0,0.25,0.25,0.8659003831417624
4240,4240.0,0.25,0.25,0.8620689655172413
4241,4241.0,0.25,0.25,0.8620689655172413
4242,4242.0,0.25,0.25,0.8544061302681992
4243,4243.0,0.25,0.25,0.8544061302681992
4244,4244.0,0.25,0.25,0.8659003831417624
4245,4245.0,0.25,0.25,0.8620689655172413
4246,4246.0,0.25,0.25,0.8697318007662835
4247,4247.0,0.25,0.25,0.8620689655172413
4248,4248.0,0.25,0.25,0.8620689655172413
4249,4249.0,0.25,0.25,0.8620689655172413
4250,4250.0,0.25,0.25,0.8659003831417624
4251,4251.0,0.25,0.25,0.8697318007662835
4252,4252.0,0.25,0.25,0.8697318007662835
4253,4253.0,0.25,0.25,0.8659003831417624
4254,4254.0,0.25,0.25,0.8659003831417624
4255,4255.0,0.25,0.25,0.8659003831417624
4256,4256.0,0.25,0.25,0.8544061302681992
4257,4257.0,0.25,0.25,0.8659003831417624
4258,4258.0,0.25,0.25,0.8659003831417624
4259,4259.0,0.25,0.25,0.8620689655172413
4260,4260.0,0.25,0.25,0.8620689655172413
4261,4261.0,0.25,0.25,0.8697318007662835
4262,4262.0,0.25,0.25,0.8659003831417624
4263,4263.0,0.25,0.25,0.8659003831417624
4264,4264.0,0.25,0.25,0.8697318007662835
4265,4265.0,0.25,0.25,0.8505747126436781
4266,4266.0,0.25,0.25,0.842911877394636
4267,4267.0,0.25,0.25,0.842911877394636
4268,4268.0,0.25,0.25,0.8467432950191571
4269,4269.0,0.25,0.25,0.842911877394636
4270,4270.0,0.25,0.25,0.8544061302681992
4271,4271.0,0.25,0.25,0.8697318007662835
4272,4272.0,0.25,0.25,0.8659003831417624
4273,4273.0,0.25,0.25,0.8659003831417624
4274,4274.0,0.25,0.25,0.8620689655172413
4275,4275.0,0.25,0.25,0.8659003831417624
4276,4276.0,0.25,0.25,0.8544061302681992
4277,4277.0,0.25,0.25,0.8505747126436781
4278,4278.0,0.25,0.25,0.8505747126436781
4279,4279.0,0.25,0.25,0.8467432950191571
4280,4280.0,0.25,0.25,0.8505747126436781
4281,4281.0,0.25,0.25,0.8659003831417624
4282,4282.0,0.25,0.25,0.8505747126436781
4283,4283.0,0.25,0.25,0.8544061302681992
4284,4284.0,0.25,0.25,0.8544061302681992
4285,4285.0,0.25,0.25,0.8505747126436781
4286,4286.0,0.25,0.25,0.8505747126436781
4287,4287.0,0.25,0.25,0.8582375478927203
4288,4288.0,0.25,0.25,0.8620689655172413
4289,4289.0,0.25,0.25,0.8620689655172413
4290,4290.0,0.25,0.25,0.8659003831417624
4291,4291.0,0.25,0.25,0.8697318007662835
4292,4292.0,0.25,0.25,0.8659003831417624
4293,4293.0,0.25,0.25,0.8620689655172413
4294,4294.0,0.25,0.25,0.8659003831417624
4295,4295.0,0.25,0.25,0.8620689655172413
4296,4296.0,0.25,0.25,0.8620689655172413
4297,4297.0,0.25,0.25,0.8659003831417624
4298,4298.0,0.25,0.25,0.8582375478927203
4299,4299.0,0.25,0.25,0.8659003831417624
4300,4300.0,0.25,0.25,0.8659003831417624
4301,4301.0,0.25,0.25,0.8735632183908046
4302,4302.0,0.25,0.25,0.8620689655172413
4303,4303.0,0.25,0.25,0.8659003831417624
4304,4304.0,0.25,0.25,0.8620689655172413
4305,4305.0,0.25,0.25,0.8659003831417624
4306,4306.0,0.25,0.25,0.8659003831417624
4307,4307.0,0.25,0.25,0.8659003831417624
4308,4308.0,0.25,0.25,0.8659003831417624
4309,4309.0,0.25,0.25,0.8544061302681992
4310,4310.0,0.25,0.25,0.8505747126436781
4311,4311.0,0.25,0.25,0.8505747126436781
4312,4312.0,0.25,0.25,0.8582375478927203
4313,4313.0,0.25,0.25,0.8582375478927203
4314,4314.0,0.25,0.25,0.8544061302681992
4315,4315.0,0.25,0.25,0.8505747126436781
4316,4316.0,0.25,0.25,0.8582375478927203
4317,4317.0,0.25,0.25,0.8620689655172413
4318,4318.0,0.25,0.25,0.8505747126436781
4319,4319.0,0.25,0.25,0.8620689655172413
4320,4320.0,0.25,0.25,0.8582375478927203
4321,4321.0,0.25,0.25,0.8544061302681992
4322,4322.0,0.25,0.25,0.8620689655172413
4323,4323.0,0.25,0.25,0.8620689655172413
4324,4324.0,0.25,0.25,0.8659003831417624
4325,4325.0,0.25,0.25,0.8659003831417624
4326,4326.0,0.25,0.25,0.8697318007662835
4327,4327.0,0.25,0.25,0.8735632183908046
4328,4328.0,0.25,0.25,0.8697318007662835
4329,4329.0,0.25,0.25,0.8697318007662835
4330,4330.0,0.25,0.25,0.8659003831417624
4331,4331.0,0.25,0.25,0.8659003831417624
4332,4332.0,0.25,0.25,0.8697318007662835
4333,4333.0,0.25,0.25,0.8697318007662835
4334,4334.0,0.25,0.25,0.8697318007662835
4335,4335.0,0.25,0.25,0.8620689655172413
4336,4336.0,0.25,0.25,0.8697318007662835
4337,4337.0,0.25,0.25,0.8620689655172413
4338,4338.0,0.25,0.25,0.8582375478927203
4339,4339.0,0.25,0.25,0.8620689655172413
4340,4340.0,0.25,0.25,0.8582375478927203
4341,4341.0,0.25,0.25,0.8620689655172413
4342,4342.0,0.25,0.25,0.8659003831417624
4343,4343.0,0.25,0.25,0.8582375478927203
4344,4344.0,0.25,0.25,0.8659003831417624
4345,4345.0,0.25,0.25,0.8582375478927203
4346,4346.0,0.25,0.25,0.8544061302681992
4347,4347.0,0.25,0.25,0.8620689655172413
4348,4348.0,0.25,0.25,0.8735632183908046
4349,4349.0,0.25,0.25,0.8697318007662835
4350,4350.0,0.25,0.25,0.8659003831417624
4351,4351.0,0.25,0.25,0.8544061302681992
4352,4352.0,0.25,0.25,0.8620689655172413
4353,4353.0,0.25,0.25,0.8659003831417624
4354,4354.0,0.25,0.25,0.8659003831417624
4355,4355.0,0.25,0.25,0.8467432950191571
4356,4356.0,0.25,0.25,0.8659003831417624
4357,4357.0,0.25,0.25,0.8697318007662835
4358,4358.0,0.25,0.25,0.8620689655172413
4359,4359.0,0.25,0.25,0.8659003831417624
4360,4360.0,0.25,0.25,0.8582375478927203
