,MC_frame,rmf_frame_index,Total_Score,XLs_Trnka,XLs_Chen,XLs_psi_Trnka,XLs_psi_Chen,CR_Rpb1,CR_Rpb7,CR_Rpb9,CR_Rpb10,CR_Rpb12,CR_Rpb4,CR_Rpb2,CR_Rpb3,CR_Rpb5,CR_Rpb6,CR_Rpb8,CR_Rpb11,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,CR_sum,half,cluster,frame_RMF3
1401,1401.0,1401.0,629.8690063515244,89.72397999585692,60.780507354265836,-1.3862943611198906,-1.3862943611198906,5.807962200523116,0.0,0.0,0.0,0.0,0.0,0.9590046138883298,0.07804460400915696,0.0,0.0,0.8657141257362331,0.0,327.70880523931106,146.71757694017344,0.1663921182533681,1.0,example1,example1/rmfs//0.rmf3,147.73189862788297,7.710725544156835,A,0,h1_example1_1401.rmf3
1405,1405.0,1405.0,630.4518706723704,91.17432955025498,60.6870119570258,-1.3862943611198906,-1.3862943611198906,3.833063450773305,0.0,0.48315950220727744,0.0,0.0,0.0,0.0,0.0,0.0,3.3861828614693006,0.0,0.0,328.4601755304653,145.20053654241426,0.16947599777301162,1.0,example1,example1/rmfs//0.rmf3,149.08875278504098,7.702405814449882,A,0,h1_example1_1405.rmf3
1407,1407.0,1407.0,638.007939299157,93.55187902330407,60.394813856436095,-1.3862943611198906,-1.3862943611198906,4.211823305671771,0.0,0.6080364017973261,0.0,0.3345795926566925,0.0,1.4801776142503822,0.0,0.0,1.7982523956203922,0.16248508424911873,0.0,331.3147526017777,146.92372814563322,0.16591914417427472,1.0,example1,example1/rmfs//0.rmf3,151.17410415750038,8.595354394245684,A,0,h1_example1_1407.rmf3
1409,1409.0,1409.0,631.4390158443546,93.25920764029316,60.11468134583215,-1.3862943611198906,-1.3862943611198906,4.4355059282406595,0.0,0.0,0.0,0.0,0.0,0.9619394046879703,0.0,0.0,0.0,0.0,0.0,328.0362553443102,147.40401490323026,0.1649129783225377,1.0,example1,example1/rmfs//0.rmf3,150.60130026388552,5.39744533292863,A,0,h1_example1_1409.rmf3
1410,1410.0,1410.0,629.4912018314009,94.19286986491358,57.57963674902135,-1.3862943611198906,-1.3862943611198906,3.511897713763312,0.0,0.5004336535390882,0.0,0.0,0.0,4.223995849284145,0.0,0.0,0.0,0.0,0.0,324.4407807054134,147.81417601770588,0.16403991956959618,1.0,example1,example1/rmfs//0.rmf3,148.99991789169513,8.236327216586545,A,0,h1_example1_1410.rmf3
1411,1411.0,1411.0,638.3608239719451,92.30068161375239,58.63851978429876,-1.3862943611198906,-1.3862943611198906,0.5842425757742855,0.0,0.0,0.0,0.0,0.0,1.657375955371967,0.0,0.0,0.4197320575183483,0.0,0.0,337.47034215984206,150.06251854762706,0.1595882065623849,1.0,example1,example1/rmfs//0.rmf3,148.16661267581136,2.6613505886646003,A,0,h1_example1_1411.rmf3
1412,1412.0,1412.0,634.5887254905999,93.9506854208315,59.214860715220624,-1.3862943611198906,-1.3862943611198906,0.1061225882053986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342413032500083,0.0,0.0,0.0,333.3482959101569,150.20710827517536,0.1593716628357137,1.0,example1,example1/rmfs//0.rmf3,150.39295741381233,0.6403638914554068,A,0,h1_example1_1412.rmf3
1415,1415.0,1415.0,637.4093412894831,88.85771663655518,60.243152277537654,-1.3862943611198906,-1.3862943611198906,0.916938610992787,0.0,0.0,0.0,0.0,0.0,4.426885097618185,0.0,0.0,0.0,0.0,0.0,335.5316740863868,150.20556330263233,0.159277920136092,1.0,example1,example1/rmfs//0.rmf3,146.32828019185305,5.343823708610972,A,0,h1_example1_1415.rmf3
1418,1418.0,1418.0,636.852094900023,91.14580748936632,59.64093203108902,-1.3862943611198906,-1.3862943611198906,0.08909391431125094,0.0,0.31006134139797775,0.0,0.0,0.0,1.1102993092749014,0.0,0.0,0.0,0.0,0.0,338.12785290166744,149.20063663515577,0.16129881785909855,1.0,example1,example1/rmfs//0.rmf3,148.01415079821555,1.50945456498413,A,0,h1_example1_1418.rmf3
1419,1419.0,1419.0,639.6797036621954,90.96416925281903,61.067716984642,-1.3862943611198906,-1.3862943611198906,0.16440008844127896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.82931087488436,147.42669518364852,0.16491438586213447,1.0,example1,example1/rmfs//0.rmf3,149.25929751522125,0.16440008844127896,A,0,h1_example1_1419.rmf3
